year,outcome,cinc_a,irst_prop_a,irst_raw_a,milex_prop_a,milex_raw_a,milper_prop_a,milper_raw_a,pec_prop_a,pec_raw_a,tpop_prop_a,tpop_raw_a,upop_prop_a,upop_raw_a,cinc_b,irst_prop_b,irst_raw_b,milex_prop_b,milex_raw_b,milper_prop_b,milper_raw_b,pec_prop_b,pec_raw_b,tpop_prop_b,tpop_raw_b,upop_prop_b,upop_raw_b,capratio_a
1913,VictoryA,0.0447277,0.03530907271424128,2611,0.06339032542608884,37513,0.05237746891002194,358,0.029050801499814143,37670,0.04302322129008633,52166,0.0452155828149974,4696,0.0017763,0,0,0.002017648510083173,1194,0.004681784930504755,32,1.52696010006987e-4,198,0.002476684689915448,3003,0.0013287373144100598,138,0.9618032857388611
1951,VictoryA,0.0585345,0.08556411789097293,15889,0.04519139530106354,3215782,0.04245913436825331,826,0.08506913176040755,211603,0.023231974681089892,50562,0.0696913750745032,19176,0.0053701,0,0,0.0013272780628148452,94448,0.003958054898735478,77,0.0016342207842330056,4065,0.009622784813616265,20943,0.015678378810565642,4314,0.9159669256986195
1856,VictoryA,0.2956996,0.5159280758884327,3644,0.21647016337749364,32369,0.08255889345148044,382,0.5828653249542598,73272,0.07697232832293699,28011,0.29940258685691085,5162,0.0057949,0,0,NA,NA,0.0038902096390749947,18,0,0,0.017311972740512764,6300,0.007772170987761731,134,0.980779417203299
1889,VictoryA,0.1892983,0.3381717850287908,8457,0.14104516461756278,28990,0.058299766800932795,275,0.3392472138376802,152628,0.03847881481358816,37178,0.22054695645200095,11000,0.004736,0,0,0.007482837639938308,1538,0.006359974560101759,30,0.0012780561099972883,575,0.005174944162352488,5000,0.008120137942096399,405,0.975591944310877
1938,VictoryA,0.1542221,0.20869565217391303,22656,0.35453266139834266,7415163,0.09612784265519361,782,0.12677759216775458,232155,0.04512381945987796,68424,0.09407528375034493,20796,0.0051238,0.0061993367722918205,673,0.001985291449323957,41523,0.007129686539643515,58,0.0012898652740636054,2362,0.004453425008952354,6753,0.009685284790800563,2141,0.9678447955046222
1895,VictoryA,0.1719241,0.2756665375268552,7827,0.15741654188320267,35743,0.061115506329113924,309,0.29328578344009093,161765,0.03811264613767041,39221,0.20594781851957225,12306,0.0193587,3.5219948578875073e-4,10,0.029705804633136615,6745,0.04568829113924051,231,2.918988108296272e-4,161,0.02657516755240841,27348,0.013539069168075244,809,0.8987953961359829
1945,VictoryB,0.1182072,0.10130140723959453,12252,0.06053090852516707,8589076,0.24218235362498547,12500,0.07258097022230582,151257,0.10975263254657677,177300,0.12289484320792213,29189,0.00332,0,0,2.1721587544023356e-4,30822,0.0017437129460998954,90,0.0011765970433440691,2452,0.009418422471495576,15215,0.007363838458688403,1749,0.9726810129748731
1940,VictoryA,0.1373449,0.13272226650242736,18317,0.12321444772926889,6145214,0.1889168765743073,4200,0.09862600044953043,201846,0.12713971828107168,194077,0.15345012125892507,33978,8.913e-4,1.4491703499746395e-5,2,1.6008297687769422e-4,7984,0.0015293270960777259,34,5.63378905295664e-4,1153,0.0013101987178395348,2000,0.0017703351443139274,392,0.9935523401250902
1939,VictoryB,0.1381359,0.1311333432880394,17564,0.18041270789657488,5984123,0.15710898392904188,1789,0.09192632900200434,181115,0.11084795447238287,170315,0.15738604030093517,35124,5.647e-4,0,0,1.5445108707727985e-4,5123,0.0013172916483709493,15,3.8980438215244093e-4,768,7.426093770542164e-4,1141,7.84152062768012e-4,175,0.9959286405394064
1908,VictoryA,0.0468532,0.04996781062744515,2018,0.057069724582778744,22296,0.0508749189889825,314,0.0347417477603651,35969,0.04312070364681746,50001,0.045344102229521475,4031,0.0015726,0,0,0.0022064093375652708,862,0.004698639014906027,29,9.851978847221887e-5,102,0.0024319590464995746,2820,0,0,0.9675255752099088
1928,VictoryA,0.0396984,0.017711450183061684,1906,0.0418038610683292,240349,0.047587243279345465,285,0.024101162759914932,40968,0.04586587921508859,62595,0.061120585874799356,9748,0.1267741,2.787741371940454e-4,30,0.018384035328627372,105698,0.2838537318417098,1700,0.014852029755829242,25246,0.347895569852133,474787,0.09538021669341894,15212,0.23846821547102376
1929,VictoryB,0.1266302,1.695950071229903e-4,20,0.01809997974385135,111605,0.2866779089376054,1700,0.013969953149946346,25620,0.34677974203173545,478830,0.09408410548823949,15444,0.1337485,0.041160708228749746,4854,0.45389358369868193,2798721,0.09477234401349073,562,0.028089857007005697,51515,0.11064245830285561,152774,0.07393192852922005,12136,0.48633087115036683
1897,VictoryA,0.1322298,0.18545151533855936,6009,0.1497382958497654,39222,0.11463275763902069,604,0.1734613791082382,102992,0.051272206402490986,53549,0.11882239080890387,7612,0.1213515,6.172458490216654e-4,20,0.010155113634194482,2660,0.18978933383943822,1000,9.077955893597599e-4,539,0.40528779038036933,423285,NA,NA,0.521449334000575
1826,VictoryA,0.1500554,0.11875945537065052,157,0.1742993525213857,7376,0.3029350104821803,578,8.031411743708727e-4,27,0.21088819742318496,53000,0.09264724752983447,722,0.0651783,0,0,NA,NA,0.09958071278825996,190,8.92379082634303e-5,3,0.11317136058698542,28442,0.11305017323238804,881,0.6971742807933888
1914,VictoryA,0.2063641,0.4076096229312404,23890,0.03414630594027454,253205,0.02356950163282692,166,0.4657059429203292,556778,0.08127469849285379,99111,0.22587825413723023,23340,1.596e-4,0,0,NA,NA,1.419849495953429e-4,1,0,0,6.560296919038555e-4,800,0,0,0.999227207337463
1850,VictoryA,0.3041713,0.5273025544879306,2250,0.14578753658505947,11606,0.0694060773480663,201,0.6768513545939646,59236,0.08103636095981157,27524,0.32464370121034164,4533,0.0015531,0,0,0.003077541484003065,245,0.003107734806629834,9,1.7139527177576928e-4,15,0.002961872515825114,1006,0,0,0.9949199344245995
